,explicit,key,mode,danceability,loudness,speechiness,energy,valence,acousticness,tempo,instrumentalness,liveness,popularidad_predicha
Song_142,0,9,1,0.90,-29.23,0.38,0.54,0.82,0.14,149.50,0.37,0.85,59.95
Song_143,1,8,0,0.77,-4.46,0.50,0.77,0.62,0.57,134.62,0.28,0.79,61.22
Song_144,1,3,0,0.87,-13.79,0.07,0.80,0.33,0.63,141.59,0.17,0.56,60.54
Song_145,1,9,0,0.21,-0.91,0.04,0.86,0.32,0.18,95.24,0.04,0.75,62.39
Song_146,0,9,0,0.60,-12.33,0.06,0.64,0.68,0.01,170.47,0.68,0.14,60.59
Song_147,0,9,1,0.09,-42.25,0.20,0.91,0.17,0.09,175.63,0.17,0.19,61.49
Song_148,0,8,0,0.20,-2.23,0.28,0.69,0.28,0.69,74.67,0.89,0.84,61.42
Song_149,0,10,0,0.31,-0.99,0.17,0.78,0.35,0.38,181.47,0.46,0.34,60.73
Song_150,1,6,1,0.74,-52.61,0.25,0.69,0.45,0.37,168.63,0.97,0.00,62.89
Song_151,0,1,0,0.02,-5.94,0.19,0.87,0.19,0.69,137.45,0.98,0.95,60.97
Song_152,0,8,0,0.90,-20.15,0.15,0.22,0.16,0.50,67.71,0.80,0.71,59.95
Song_153,0,3,1,0.07,-4.68,0.29,0.76,0.99,0.64,133.26,0.44,0.85,60.74
Song_154,0,7,1,0.38,-5.06,0.40,0.12,0.91,0.92,125.60,0.46,0.91,59.82
Song_155,0,6,0,0.08,-6.52,0.74,0.09,0.52,0.51,91.28,0.95,0.63,60.55
Song_156,1,6,0,0.77,-6.88,0.96,0.49,0.77,0.64,176.69,0.73,0.50,60.95
Song_157,0,7,1,0.14,-52.94,0.92,0.30,0.67,0.64,104.88,0.40,0.15,60.34
Song_158,1,0,0,0.88,-51.39,0.48,0.56,0.08,0.53,141.24,0.86,0.19,62.71
Song_159,0,4,0,0.53,-52.93,0.46,0.68,0.52,0.66,123.08,0.27,0.45,60.17
Song_160,1,1,0,0.95,-54.54,0.13,0.23,0.18,0.83,182.99,0.94,0.07,63.56
Song_161,0,1,1,0.29,-38.80,0.97,0.70,0.58,0.81,130.14,0.24,0.79,58.96
Song_162,0,0,0,0.45,-18.96,0.76,1.00,0.06,0.06,98.92,0.73,0.56,61.25
Song_163,1,4,1,0.69,-38.72,0.85,0.76,0.16,0.95,161.10,0.65,0.93,62.30
Song_164,1,1,1,0.83,-16.78,0.23,0.17,0.78,0.85,167.44,0.59,0.62,61.08
Song_165,1,3,1,0.42,-10.78,0.40,0.63,0.84,0.97,190.85,0.47,0.97,60.79
Song_166,0,2,1,0.89,-20.03,0.10,0.01,0.91,0.19,164.47,0.56,0.28,60.69
Song_167,1,2,0,0.12,-32.09,0.94,0.47,0.90,0.54,66.94,0.69,0.35,61.28
Song_168,0,1,1,0.71,-42.27,0.29,0.53,0.91,0.44,176.07,0.63,0.42,61.09
Song_169,0,5,0,0.35,-52.54,0.60,0.97,0.09,0.38,127.53,0.28,0.30,61.41
Song_170,1,1,1,0.10,-30.38,0.15,0.74,0.66,0.41,80.47,0.27,0.80,63.14
Song_171,1,7,1,0.39,-16.82,0.80,0.71,0.70,0.90,196.99,0.65,0.53,60.20
Song_172,0,7,0,0.88,-27.11,0.19,0.53,0.27,0.70,151.01,0.15,0.46,60.64
Song_173,0,11,1,0.98,-16.71,0.81,0.51,0.99,0.32,184.92,0.98,0.46,59.83
Song_174,1,4,1,0.39,-39.89,0.40,0.99,0.29,0.38,84.87,0.85,0.81,62.00
Song_175,1,9,0,0.89,-55.99,0.58,0.02,0.57,0.47,168.70,0.45,0.24,63.91
Song_176,1,6,1,0.51,-13.73,0.27,0.30,0.87,0.37,143.51,0.52,0.32,60.48
Song_177,0,3,1,0.72,-46.82,0.88,0.13,0.29,0.21,114.09,0.35,0.93,60.37
Song_178,0,0,1,0.05,-23.02,0.76,0.31,0.61,0.44,89.91,0.15,0.40,58.95
Song_179,0,10,0,0.56,-11.74,0.35,0.46,0.72,0.08,107.70,0.59,1.00,59.67
Song_180,0,1,1,0.07,-51.65,0.59,0.34,0.63,0.85,134.77,0.99,0.44,59.87
Song_181,0,9,0,0.27,-24.09,0.13,0.96,0.41,0.82,162.63,0.16,0.42,60.41
Song_182,0,9,0,0.57,-18.64,0.16,0.68,0.94,0.89,121.03,0.54,0.59,59.75
Song_183,1,3,0,0.81,-15.21,0.53,0.73,0.61,0.45,114.96,0.96,0.85,59.86
Song_184,0,0,1,0.56,-51.14,0.64,0.74,0.22,0.65,61.20,0.98,0.72,59.70
Song_185,0,7,1,0.94,-10.49,0.56,0.90,0.81,0.81,192.90,0.49,0.76,59.92
Song_186,0,8,1,0.81,-54.35,0.56,0.77,0.66,0.31,167.90,0.07,0.98,59.24
Song_187,1,3,1,0.16,-28.82,0.74,0.02,0.11,0.63,199.42,0.25,0.80,62.20
Song_188,0,9,0,0.39,-33.40,0.90,0.26,0.28,0.44,188.85,0.70,0.47,60.12
Song_189,0,2,0,0.67,-46.69,0.39,0.99,0.16,0.37,180.82,0.07,0.66,61.15
Song_190,1,1,1,0.94,-41.88,0.54,0.65,0.07,0.86,68.13,0.64,0.83,62.65
Song_191,0,4,1,0.99,-50.13,0.89,0.07,0.23,0.62,146.19,0.45,0.17,60.31
Song_192,0,2,0,0.76,-34.46,0.46,0.47,0.28,0.62,91.55,0.18,0.35,59.95
Song_193,0,9,1,0.57,-57.87,0.45,0.98,0.47,0.16,183.42,0.10,0.60,60.85
Song_194,0,6,1,0.76,-6.67,0.77,0.99,0.97,0.35,174.77,0.68,0.38,59.67
Song_195,0,10,1,0.27,-50.19,0.88,0.43,0.94,0.84,83.86,0.18,0.05,59.84
Song_196,1,5,1,0.28,-6.84,0.74,0.89,0.75,0.21,170.11,0.52,0.94,60.18
Song_197,1,0,1,0.65,-8.19,0.10,0.59,0.65,0.97,198.17,0.49,0.54,61.68
Song_198,1,11,1,0.87,-32.90,0.46,0.51,0.95,0.83,110.05,0.67,0.63,61.85
Song_199,0,7,0,0.97,-30.14,0.21,0.41,0.14,0.27,111.13,0.43,0.72,61.12
Song_200,0,1,0,0.34,-41.89,0.32,0.89,0.33,0.11,63.52,0.92,0.04,60.68
Song_201,0,4,0,0.80,-0.19,0.47,0.62,0.55,0.17,161.78,0.85,0.18,61.29
Song_202,1,8,0,0.85,-19.75,0.22,0.33,0.81,0.24,175.77,0.82,0.90,62.21
Song_203,0,7,1,0.62,-2.89,0.52,0.49,0.62,0.24,66.53,0.28,0.79,61.28
Song_204,0,1,1,0.35,-35.11,0.64,0.44,0.81,0.02,192.34,0.98,0.07,60.61
Song_205,1,8,0,0.62,-7.02,0.87,0.45,0.15,0.72,70.29,0.52,0.79,61.60
Song_206,0,4,0,0.58,-33.11,0.21,0.31,0.19,0.98,139.64,0.98,0.90,59.84
Song_207,1,9,0,0.61,-7.99,0.31,0.63,0.74,0.29,189.83,0.84,0.17,61.18
Song_208,1,5,0,0.62,-52.14,0.41,0.05,0.35,0.02,189.97,0.86,0.06,63.66
Song_209,1,2,0,0.85,-21.79,0.22,0.89,0.44,0.92,78.66,0.71,0.86,62.17
Song_210,0,2,1,0.17,-19.28,0.33,0.42,0.79,0.21,195.99,0.17,0.60,60.60
Song_211,0,9,1,0.37,-20.63,0.88,0.80,0.07,0.01,97.86,0.96,0.99,59.55
Song_212,0,7,0,0.59,-33.18,0.14,0.73,0.17,0.22,107.83,0.40,0.71,61.23
Song_213,0,10,0,0.28,-18.97,0.44,0.47,0.30,0.10,154.52,0.94,0.51,59.68
Song_214,0,9,1,0.98,-45.63,0.31,0.20,0.88,0.73,75.69,0.88,0.25,61.02
Song_215,0,9,1,0.26,-24.25,0.08,0.56,0.40,0.00,134.80,0.82,0.70,59.98
Song_216,0,11,1,0.47,-26.75,0.10,0.95,0.25,0.44,174.24,0.01,0.08,61.68
Song_217,1,1,0,0.88,-40.90,0.78,0.19,0.68,0.49,129.47,0.58,0.42,63.31
Song_218,0,10,1,0.08,-13.27,0.85,0.26,0.03,0.78,68.55,0.24,0.35,60.90
Song_219,1,11,0,0.82,-55.15,0.74,0.99,0.78,0.52,172.71,0.88,0.60,62.74
Song_220,0,11,0,0.57,-49.71,0.54,0.89,0.70,0.12,93.64,0.70,0.22,61.36
Song_221,0,1,1,0.03,-31.73,0.77,0.55,0.06,0.43,172.79,0.65,0.16,60.43
Song_222,0,4,1,0.90,-6.50,0.15,0.69,0.50,0.93,191.34,0.90,0.15,60.75
Song_223,1,5,1,0.04,-25.49,0.78,0.44,0.40,0.24,165.67,0.30,0.31,61.97
Song_224,1,11,0,0.52,-9.48,0.42,0.40,0.16,0.30,64.64,0.11,0.86,62.02
Song_225,1,1,1,0.05,-28.95,0.75,0.44,0.15,0.87,152.34,0.31,0.40,61.98
Song_226,1,4,1,0.07,-12.87,0.23,0.41,0.16,0.79,98.10,0.18,0.89,61.40
Song_227,0,6,0,0.89,-40.45,0.83,0.68,0.60,0.30,87.86,0.25,0.75,59.99
Song_228,1,9,1,0.77,-11.09,0.57,0.33,0.17,0.71,166.52,0.57,0.72,61.13
Song_229,0,9,1,0.20,-35.90,0.01,0.17,0.06,0.09,100.54,0.46,0.77,62.28
Song_230,0,7,0,0.62,-26.47,0.52,0.71,0.96,0.54,80.10,0.98,0.50,59.66
Song_231,1,11,0,0.79,-49.45,0.31,0.03,0.04,0.87,83.93,0.42,0.27,65.13
Song_232,1,6,0,0.89,-4.77,0.06,0.72,0.66,0.84,154.82,0.15,0.18,61.67
Song_233,1,7,0,0.47,-17.91,0.45,0.26,0.94,0.20,124.04,0.87,0.50,60.53
Song_234,1,11,0,0.90,-8.47,0.31,0.19,0.04,0.53,89.21,0.28,0.38,63.17
Song_235,1,8,1,0.51,-47.53,0.20,0.38,0.97,0.40,71.16,0.11,0.66,63.15
Song_236,1,4,1,0.69,-55.94,0.35,0.12,0.50,0.56,191.22,0.66,0.35,63.27
Song_237,1,4,0,0.98,-39.77,0.18,0.38,0.79,0.08,199.65,0.26,0.06,64.57
Song_238,1,10,1,0.24,-29.00,0.30,0.10,0.63,0.98,115.18,0.02,0.38,63.31
Song_239,0,9,1,0.17,-11.86,0.12,0.48,0.62,0.56,94.82,0.66,0.88,60.68
Song_240,1,3,0,0.34,-36.14,0.08,0.18,0.79,0.12,65.85,0.07,0.71,63.85
Song_241,1,8,0,0.16,-43.80,0.91,0.13,0.07,0.64,103.02,0.00,0.39,63.30
Song_242,0,4,0,0.28,-37.65,0.90,0.58,0.39,0.01,141.58,0.68,0.21,60.98
Song_243,1,1,1,0.74,-17.78,0.83,0.63,0.97,0.01,133.42,0.45,0.57,60.54
Song_244,0,9,0,0.48,-39.83,0.23,0.01,0.05,0.18,117.58,0.80,0.94,62.86
Song_245,0,7,1,0.38,-1.25,0.73,0.39,0.26,0.27,110.69,0.16,0.58,59.29
Song_246,1,6,1,0.37,-49.50,0.59,0.08,0.67,0.26,196.95,0.51,0.89,63.54
Song_247,0,7,1,0.19,-14.81,0.05,0.74,0.10,0.44,130.04,0.12,0.71,61.25
Song_248,0,11,1,0.45,-24.65,0.90,0.68,0.54,0.51,61.24,0.41,0.12,58.91
Song_249,0,2,0,0.62,-46.01,1.00,0.05,0.71,0.42,157.89,0.36,0.70,59.89
Song_250,0,3,1,0.14,-14.78,0.71,0.94,0.76,0.37,141.65,0.64,0.61,59.70
Song_251,1,4,0,0.97,-33.15,0.23,0.96,0.56,0.67,82.15,0.62,0.36,62.46
Song_252,0,5,1,0.44,-19.06,0.55,0.33,0.50,0.25,159.17,0.26,0.95,59.66
Song_253,1,0,0,0.95,-20.26,0.11,0.13,0.71,0.63,62.79,0.05,0.33,63.21
Song_254,0,3,0,0.13,-53.36,0.30,0.11,0.15,0.96,161.56,0.10,0.08,60.89
Song_255,0,10,0,0.77,-9.60,0.72,0.84,0.68,0.47,80.92,0.91,0.25,60.24
Song_256,0,11,1,0.62,-19.11,0.30,0.46,0.92,0.51,197.84,0.73,0.44,60.19
Song_257,0,9,1,0.82,-13.16,0.15,0.01,0.68,0.73,131.60,0.94,0.89,59.86
Song_258,1,4,1,0.60,-33.13,0.01,0.93,0.05,0.51,61.50,0.62,0.03,64.53
Song_259,1,6,0,0.96,-48.30,0.57,0.59,0.51,0.14,177.33,0.88,0.80,62.66
Song_260,0,4,1,0.63,-40.43,0.97,0.69,0.73,0.61,175.47,0.77,0.28,60.14
Song_261,0,0,1,0.78,-5.91,0.48,0.82,0.04,0.51,166.87,0.24,0.60,61.44
Song_262,1,10,1,0.88,-3.72,0.21,0.82,0.76,0.95,135.31,0.75,0.38,60.64
Song_263,0,6,0,0.71,-31.09,0.46,0.08,0.28,0.09,90.58,0.61,0.26,60.08
Song_264,0,7,1,0.52,-42.07,0.60,0.57,0.59,0.54,149.60,0.17,0.51,60.17
Song_265,0,6,1,0.27,-16.18,0.80,0.70,0.97,0.62,178.72,0.09,0.37,59.23
Song_266,1,10,0,0.85,-14.04,0.45,0.09,0.99,0.62,129.02,0.37,0.39,61.03
Song_267,1,3,0,0.48,-11.07,0.17,0.22,0.63,0.06,69.40,0.59,0.16,61.31
